Module,Cluster,Cluster_location,Function,position,Module_color
M16.53,A8,7,TBD,A8.7,#FFFFFF
M16.54,A6,33,TBD,A6.33,#FFFFFF
M16.55,A15,8,TBD,A15.8,#FFFFFF
M16.56,A1,22,Protein synthesis,A1.22,#8B63FF
M16.57,A5,1,B cells,A5.1,#FFEE07
M16.58,A15,9,TBD,A15.9,#FFFFFF
M16.59,A6,34,TBD,A6.34,#FFFFFF
M16.60,A27,2,Cell cycle,A27.2,#99C68E
M16.61,A25,10,TBD,A25.10,#FFFFFF
M16.62,A33,25,TBD,A33.25,#FFFFFF
M16.63,A33,26,TBD,A33.26,#FFFFFF
M16.64,A31,4,Platelet/Prostaglandin,A31.4,#C7CEF7
M16.65,A5,8,TGF-beta,A5.8,#009051
M16.66,A15,10,TBD,A15.10,#FFFFFF
M16.67,A33,27,TBD,A33.27,#FFFFFF
M16.68,A2,16,Protein synthesis,A2.16,#8B63FF
M16.69,A4,5,Lipid metabolism,A4.5,#942193
M16.70,A33,28,TBD,A33.28,#FFFFFF
M16.71,A25,11,TBD,A25.11,#FFFFFF
M16.72,A4,10,TBD,A4.10,#FFFFFF
M16.73,A25,2,Protein synthesis,A25.2,#8B63FF
M16.74,A25,12,TBD,A25.12,#FFFFFF
M16.75,A17,1,Cell death,A17.1,#000000
M16.76,A33,29,TBD,A33.29,#FFFFFF
M16.77,A4,3,Antigen presentation,A4.3,#4FF300
M16.78,A1,3,B cells,A1.3,#FFEE07
M16.79,A35,14,Protein synthesis,A35.14,#8B63FF
M16.80,A33,2,Cytokines/chemokines,A33.2,#F4CA49
M16.81,A6,35,TBD,A6.35,#FFFFFF
M16.82,A36,3,Gene transcription,A36.3,#E5C493
M16.83,A7,3,Cell adhesion,A7.3,#4F8F00
M16.84,A5,7,Protein phosphorylation,A5.7,#C5A44B
M16.85,A32,30,TBD,A32.30,#FFFFFF
M16.86,A29,3,Oxidative stress,A29.3,#F94A8B
M16.87,A15,11,TBD,A15.11,#FFFFFF
M16.88,A36,5,Erythrocytes,A36.5,#EA7C1E
M16.89,A30,5,TBD,A30.5,#FFFFFF
M16.90,A14,1,TBD,A14.1,#FFFFFF
M16.91,A1,38,TBD,A1.38,#FFFFFF
M16.92,A27,5,Cell cycle,A27.5,#99C68E
M16.93,A31,7,TBD,A31.7,#FFFFFF
M16.94,A19,1,TBD,A19.1,#FFFFFF
M16.95,A5,2,B cells,A5.2,#FFEE07
M16.96,A38,1,Erythrocytes,A38.1,#EA7C1E
M16.97,A17,2,Cell death,A17.2,#000000
M16.98,A35,15,TBD,A35.15,#FFFFFF
M16.99,A5,5,Protein modification,A5.5,#FFABA8
M16.100,A33,30,TBD,A33.30,#FFFFFF
M16.101,A33,31,TBD,A33.31,#FFFFFF
M16.102,A33,32,TBD,A33.32,#FFFFFF
M16.103,A31,8,TBD,A31.8,#FFFFFF
M16.104,A8,1,Cell cycle,A8.1,#99C68E
M16.105,A6,36,TBD,A6.36,#FFFFFF
M16.106,A8,8,TBD,A8.8,#FFFFFF
M16.107,A16,1,Oxidative stress,A16.1,#F94A8B
M16.108,A13,1,TBD,A13.1,#FFFFFF
M16.109,A34,2,Platelet,A34.2,#6BA3D7
M16.110,A16,2,TBD,A16.2,#FFFFFF
M16.111,A5,10,TBD,A5.10,#FFFFFF
